50;1984;226.19;44100;ReFlex;The Politics Of Dancing
51;1984;252.72;44100;Thomas Dolby;Hyperactive
52;1984;246.75;44100;China Crisis;Wishful Thinking
53;1984;238.00;44100;David Bowie;Modern Love
54;1984;204.00;44100;Culture Club;Its A Miracle
55;1984;272.64;44100;The Rolling Stones;Undercover Of The Night
56;1984;235.19;44100;Big Country;Wonderland
57;1984;223.73;44100;Slade;Run Runaway
58;1984;257.44;44100;Duran Duran;New Moon On Monday
59;1984;237.08;44100;Paul McCartney;Pipes Of Peace
60;1984;264.40;44100;Duran Duran;The Reflex
61;1984;264.40;44100;Duran Duran;The Reflex
62;1984;204.52;44100;Nik Kershaw;I Wont Let The Sun Go Down On Me
63;1984;204.52;44100;Nik Kershaw;I Wont Let The Sun Go Down On Me
64;1984;266.92;44100;Sister Sledge;Thinking Of You
65;1984;266.92;44100;Sister Sledge;Thinking Of You
66;1984;224.51;44100;Orchestral Manoeuvres In The Dark;Locomotion
67;1984;224.51;44100;Orchestral Manoeuvres In The Dark;Locomotion
68;1984;244.44;44100;Ultravox;Dancing With Tears In My Eyes
69;1984;244.44;44100;Ultravox;Dancing With Tears In My Eyes
70;1984;238.96;44100;Howard Jones;Pearl In The Shell
71;1984;238.96;44100;Howard Jones;Pearl In The Shell
72;1984;207.88;44100;Blancmange;Dont Tell Me
73;1984;207.88;44100;Blancmange;Dont Tell Me
74;1984;203.80;44100;Phil Collins;Against All Odds Take A Look At Me Now
75;1984;203.80;44100;Phil Collins;Against All Odds Take A Look At Me Now
76;1984;236.12;44100;Frankie Goes To Hollywood;Two Tribes
77;1984;236.12;44100;Frankie Goes To Hollywood;Two Tribes
78;1984;267.12;44100;Grandmaster Flash  Melle Mel;White Lines Dont Do It
79;1984;267.12;44100;Grandmaster Flash  Melle Mel;White Lines Dont Do It
80;1984;249.32;44100;The Special AKA;Nelson Mandela
81;1984;249.32;44100;The Special AKA;Nelson Mandela
82;1984;356.68;44100;Womack  Womack;Love Wars
83;1984;356.68;44100;Womack  Womack;Love Wars
84;1984;267.88;44100;The Style Council;Youre The Best Thing
85;1984;267.88;44100;The Style Council;Youre The Best Thing
86;1984;235.79;44100;Bronski Beat;Small Town Boy
87;1984;235.79;44100;Bronski Beat;Small Town Boy
88;1984;259.13;44100;Queen;I Want To Break Free
89;1984;259.13;44100;Queen;I Want To Break Free
90;1984;240.71;44100;Cyndi Lauper;Time After Time
91;1984;240.71;44100;Cyndi Lauper;Time After Time
92;1984;232.08;44100;Alison Moyet;Love Resurrection
93;1984;232.08;44100;Alison Moyet;Love Resurrection
94;1984;204.69;44100;The Bluebells;Young At Heart
95;1984;204.69;44100;The Bluebells;Young At Heart
96;1984;223.21;44100;Bananarama;Robert De Niros Waiting
97;1984;223.21;44100;Bananarama;Robert De Niros Waiting
98;1984;259.77;44100;Propaganda;Dr Mabuse
99;1984;259.77;44100;Propaganda;Dr Mabuse
148;1985;215.41;44100;Duran Duran;A View To A Kill
149;1985;263.95;44100;Scritti Politti;The Word Girl
150;1985;181.61;44100;Harold Faltermeyer;Axel F
151;1985;215.93;44100;Fine Young Cannibals;Johnny Come Home
152;1985;229.79;44100;Dead Or Alive;In Too Deep
153;1985;312.73;44100;Stephen Tin Tin Duffy;Icing On The Cake
154;1985;224.51;44100;Kool  The Gang;Cherish
155;1985;323.24;44100;Paul Young;Every Time You Go Away
156;1985;245.35;44100;Marillion;Kayleigh
157;1985;257.32;44100;Bryan Ferry;Slave To Love
158;1985;260.48;44100;Simple Minds;Dont You Forget About Me
159;1985;225.05;44100;The Power Station;Get It On Bang A Gong
160;1985;215.11;44100;China Crisis;Black Man Ray
161;1985;286.21;44100;Phil Collins;One More Night
162;1985;256.47;44100;Sister Sledge;Frankie
163;1985;232.01;44100;Mai Tai;History
164;1985;268.72;44100;Simply Red;Moneys Too Tight To Mention
165;1985;249.45;44100;Steve Arrington;Feel So Real
166;1985;259.71;44100;Jaki Graham;Round And Around
167;1985;212.21;44100;The Conway Brothers;Turn It Up
168;1985;267.83;44100;Loose Ends;Magic Touch
169;1985;224.92;44100;The Commentators;NNNineteen Not Out
170;1985;294.37;44100;U2;The Unforgettable Fire
171;1985;205.07;44100;The Style Council;Walls Come Tumbling Down
172;1985;237.17;44100;Katrina  The Waves;Walking On Sunshine
173;1985;257.61;44100;Gary Moore And Phil Lynott;Out In The Fields
174;1985;230.47;44100;The Damned;The Shadow Of Love
175;1985;219.76;44100;Howard Jones;Life In One Day
176;1985;236.65;44100;Jimmy Nail;Love Dont Live Here Anymore
177;1985;241.63;44100;Queen;One Vision
178;1985;262.17;44100;Nik Kershaw;When A Heart Beats
179;1985;278.47;44100;Feargal Sharkey;A Good Heart
180;1985;281.16;44100;Eurythmics;There Must Be An Angel Playing With My Heart
181;1985;286.00;44100;Simple Minds;Alive  Kicking
182;1985;253.20;44100;Gary Moore;Empty Rooms
183;1985;148.45;44100;Marillion;Lavender
184;1985;292.31;44100;Elton John;Nikita
185;1985;293.71;44100;Kate Bush;Running Up That Hill A Deal With God
186;1985;227.05;44100;Level 42;Something About You
187;1985;254.33;44100;Tina Turner;We Dont Need Another Hero Thunderdome
188;1985;230.15;44100;UB40;Dont Break My Heart
189;1985;247.04;44100;Phil Collins  Marilyn Martin;Separate Lives
190;1985;250.41;44100;Cliff Richard;Shes So Beautiful
191;1985;266.13;44100;Arcadia;Election Day
192;1985;188.75;44100;UB40  Chrissie Hynde;I Got You Babe
193;1985;210.97;44100;Fine Young Cannibals;Blue
194;1985;318.35;44100;Midge Ure;If I Was
195;1985;244.08;44100;Siouxsie  The Banshees;Cities In Dust
196;1985;255.45;44100;Madness;Uncle Sam
197;1985;195.40;44100;Lloyd Cole  The Commotions;Lost Weekend
198;1985;268.05;44100;The Communards;You Are My World
199;1985;309.92;44100;Paul Hardcastle;Just For Money
200;1985;147.64;44100;Jan Hammer;Miami Vice Theme
201;1985;219.61;44100;Maria Vidal;Body Rock
202;1985;227.29;44100;Baltimora;Tarzan Boy
203;1985;226.35;44100;Mai Tai;Body  Soul
204;1985;266.24;44100;Cameo;Single Life
205;1985;229.87;44100;David Grant  Jaki Graham;Mated
206;1986;311.60;44100;Peter Gabriel;Sledgehammer
207;1986;234.76;44100;UB40;Sing Our Own Song
208;1986;230.95;44100;Sly Fox;Lets Go All The Way
209;1986;244.97;44100;Level 42;Lessons In Love
210;1986;277.24;44100;Pet Shop Boys;Opportunities Lets Make Lots Of Money
211;1986;233.88;44100;Pete Wylie;Sinful
212;1986;301.33;44100;Camouflage;Stan Ridgway
213;1986;198.35;44100;The Art Of Noise With Max Headroom;Paranoimia
214;1986;254.52;44100;Chris De Burgh;The Lady In Red
215;1986;208.33;44100;Genesis;Invisible Touch
216;1986;238.13;44100;Simple Minds;All The Things She Said
217;1986;140.72;44100;The Housemartins;Happy Hour
218;1986;265.07;44100;Big Country;Look Away
219;1986;220.88;44100;Furniture;Brilliant Mind
220;1986;259.80;44100;Midge Ure;Call Of The Wild
221;1986;275.16;44100;Wham;The Edge Of Heaven
222;1986;205.41;44100;Owen Paul;My Favourite Waste Of Time
223;1986;184.71;44100;Amazulu;Too Good To Be Forgotten
224;1986;207.11;44100;Doctor And The Medics;Spirit In The Sky
225;1986;216.41;44100;Bananarama;Venus
226;1986;247.65;44100;Bucks Fizz;New Beginning Mamba Seyra
227;1986;226.65;44100;AHa;Hunting High And Low Remix
228;1986;266.89;44100;Simply Red;Holding Back The Years
229;1986;261.36;44100;Queen;A Kind Of Magic
230;1986;179.19;44100;Billy Ocean;When The Going Gets Tough The Tough Get Going
231;1986;216.20;44100;Jaki Graham;Set Me Free
232;1986;325.60;44100;Nu Shooz;I Cant Wait
233;1986;245.80;44100;Lovebug Starski;Amityville The House On The Hill
234;1986;206.84;44100;Midnight Star;Headlines
235;1986;234.44;44100;Aurra;You And Me Tonight
236;1986;240.12;44100;Duran Duran;Notorious
237;1986;244.23;44100;Pet Shop Boys;Suburbia
238;1986;218.57;44100;Run DMC feat Aerosmith;Walk This Way
239;1986;271.56;44100;The Communards featuring Sarah Jane Morris;Dont Leave Me This Way
240;1986;227.33;44100;Swing Out Sister;Breakout
241;1986;252.55;44100;Steve Winwood;Higher Love
242;1986;217.79;44100;Orchestral Manoeuvres In The Dark;Forever Live And Die
243;1986;297.77;44100;Genesis;In Too Deep
244;1986;261.64;44100;Cameo;Word Up
245;1986;238.36;44100;Grace Jones;Im Not Perfect But Im Perfect For You
246;1986;216.12;44100;Mel  Kim;Showing Out Get Fresh At The Weekend
247;1986;244.61;44100;Jermaine Stewart;We Dont Have To Take Our Clothes Off
248;1986;243.55;44100;Jaki Graham;Step Right Up
249;1986;213.83;44100;Janet Jackson;What Have You Done For Me Lately
250;1986;226.87;44100;The Human League;Human
251;1986;239.11;44100;Boris Gardiner;I Wanna Wake To Up With You
252;1986;356.92;44100;Peter Gabriel  Kate Bush;Dont Give Up
253;1986;209.65;44100;The Housemartins;Think For A Minute
254;1986;224.44;44100;Madness;Waiting For The Ghost Train
255;1986;234.12;44100;Status Quo;In The Army Now
256;1986;268.29;44100;Huey Lewis  The News;Stuck With You
257;1986;243.17;44100;Big Country;One Great Thing
258;1986;212.00;44100;Billy Bragg;Greetings To The New Brunette
259;1986;280.11;44100;Cutting Crew;I Just Died In Your Arms
260;1986;256.71;44100;Kim Wilde;You Keep Me Hangin On
261;1986;244.55;44100;It Bites;Calling All The Heroes
262;1986;204.73;44100;Doctor  The Medics;Waterloo
263;1986;250.63;44100;Debbie Harry;French Kissin In The USA
264;1986;225.31;44100;Robert Palmer;I Didnt Mean To Turn You On
265;1986;204.35;44100;Paul Hardcastle;The Wizard Part 1
266;1986;229.19;44100;Gwen Guthrie;They Long To Be Close To You
267;1986;191.73;44100;Nick Berry;Every Loser Wins
268;1986;240.96;44100;Duran Duran;Notorious
269;1986;243.77;44100;Pet Shop Boys;Suburbia
270;1986;222.20;44100;RunDMC;Walk This Way
271;1986;259.80;44100;Cameo;Word Up
272;1986;201.60;44100;Grace Jones;Im Not Perfect But Im Perfect For You
273;1986;214.80;44100;Mel  Kim;Showing Out Get Fresh At The Weekend
